size,type,alignment,ac,hp,cr,speed,swim,fly,climb,burrow,passive_perception,darkvision,truesight,tremorsense,blindsight,strength,str_mod,dex,dex_mod,con,con_mod,intel,int_mod,wis,wis_mod,cha,cha_mod,str_save,dex_save,con_save,int_save,wis_save,cha_save,history,perception,stealth,persuasion,insight,deception,arcana,religion,acrobatics,athletics,intimidation,legendary
medium,humanoid,neutral good,12.0,13,0.25,20,0,50,0,0,15,0,0,0,0,10,0,14,2,10,0,11,0,12,1,11,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
medium,humanoid,any alignment,12.0,84,9.0,30,0,0,0,0,11,0,0,0,0,9,-1,14,2,14,2,18,4,12,1,11,0,0,0,0,8,5,0,8,0,0,0,0,0,8,0,0,0,0,0
large,aberration,lawful evil,17.0,135,10.0,10,40,0,0,0,20,120,0,0,0,21,5,9,-1,15,2,18,4,15,2,18,4,0,0,6,8,6,0,12,10,0,0,0,0,0,0,0,0,0,1
huge,monstrosity,chaotic evil,15.0,137,9.0,40,0,0,40,0,15,60,0,0,0,24,7,10,0,22,6,9,-1,13,1,9,-1,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0
medium,undead,neutral evil,21.0,285,23.0,30,0,0,0,0,22,0,120,0,0,13,1,16,3,20,5,27,8,21,5,20,5,0,0,12,15,12,0,22,12,0,0,12,0,22,15,0,0,0,0
medium,humanoid,any alignment,10.0,9,0.25,30,0,0,0,0,12,0,0,0,0,10,0,10,0,10,0,10,0,14,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
huge,dragon,chaotic evil,19.0,195,14.0,40,40,80,0,0,21,120,0,0,60,23,6,14,2,21,5,14,2,13,1,17,3,0,7,10,0,6,8,0,11,7,0,0,0,0,0,0,0,0,1
huge,undead,lawful evil,19.0,225,17.0,40,0,80,0,30,24,120,0,0,60,25,7,10,0,23,6,16,3,15,2,19,4,0,6,12,0,8,10,0,14,6,0,0,0,0,0,0,0,0,1
huge,dragon,lawful evil,19.0,225,16.0,40,0,80,0,30,22,120,0,0,60,25,7,10,0,23,6,16,3,15,2,19,4,0,5,11,0,7,9,0,12,5,0,0,0,0,0,0,0,0,1
huge,dragon,chaotic good,18.0,172,13.0,40,0,80,0,30,21,120,0,0,60,23,6,10,0,21,5,14,2,13,1,17,3,0,5,10,0,6,8,7,11,5,8,0,0,0,0,0,0,0,1
huge,dragon,lawful good,19.0,212,15.0,40,40,80,0,0,22,120,0,0,60,25,7,10,0,23,6,16,3,15,2,19,4,0,5,11,0,7,9,0,12,5,0,7,0,0,0,0,0,0,1
huge,dragon,chaotic good,18.0,184,14.0,40,0,80,40,0,22,120,0,0,60,23,6,12,1,21,5,18,4,15,2,17,3,0,6,10,0,7,8,0,12,6,0,0,8,0,0,0,0,0,1
huge,dragon,lawful good,19.0,256,17.0,40,40,80,0,0,24,120,0,0,60,27,8,14,2,25,7,16,3,15,2,24,7,0,8,13,0,8,13,0,14,8,13,8,0,0,0,0,0,0,1
huge,dragon,lawful evil,19.0,207,15.0,40,40,80,0,0,22,120,0,0,60,23,6,12,1,21,5,18,4,15,2,17,3,0,6,10,0,7,8,0,12,6,8,7,8,0,0,0,0,0,1
medium,monstrosity,unaligned,18.0,39,2.0,40,0,0,40,20,11,60,0,60,0,15,2,16,3,15,2,7,-2,12,1,8,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
medium,ooze,lawful evil,14.0,75,5.0,20,0,0,0,0,14,0,0,0,60,8,-1,19,4,16,3,19,4,12,1,15,2,0,0,0,7,0,5,7,4,0,0,0,5,7,7,0,0,0,0
huge,dragon,chaotic evil,19.0,256,17.0,40,0,80,40,0,23,120,0,0,60,27,8,10,0,25,7,16,3,13,1,21,5,0,6,13,0,7,11,0,13,6,0,0,0,0,0,0,0,0,1
